port,tx\_rate\_l1,tx\_rate\_l2,rx\_rate\_l1,rx\_rate\_l2
132,99.7900491764,97.8856589249,76.3341835939,74.877424365
140,99.7900519705,97.8856616657,76.3341814693,74.877422281
148,99.7900475061,97.8856572865,76.3341829065,74.8774236907
156,99.7900499027,97.8856596374,76.3341778684,74.8774187488
164,99.7900492026,97.8856589506,76.3341825248,74.8774233163
172,99.7900481065,97.8856578755,76.3341831227,74.8774239028
180,99.7900518707,97.8856615678,76.3341845099,74.8774252636
188,99.7900515201,97.8856612239,76.3341762018,74.877417114
128,99.7900478791,97.8856576524,76.3345877052,74.8778207643
136,99.7900508728,97.885660589,76.3345858732,74.8778189672
144,99.7900482783,97.8856580439,76.3345827435,74.8778158973
152,99.7900463823,97.8856561841,76.3345851099,74.8778182185
160,99.7900515713,97.8856612742,76.3345806189,74.8778138132
168,99.7900451848,97.8856550095,76.3345781762,74.8778114171
176,99.790046482,97.885656282,76.3345780999,74.8778113423
184,99.7900494757,97.8856592186,76.3345778709,74.8778111176
